"","id","region","plot_smpl","year","age","NDVI","aspect","dem","slope","soilfert","soiltext","map","mmp1","mmp7","pcv","apan","tmax01","tmin07","radtot_21jun","radtot_21dec","lat","lon"
"1",38050,"CB","CB_141",2000,7.38124572210815,0.29935,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"2",38050,"CB","CB_141",2001,8.38329911019849,0.3084,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"3",38050,"CB","CB_141",2002,9.38261464750171,0.331475,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"4",38050,"CB","CB_141",2003,10.3819301848049,0.310125,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"5",38050,"CB","CB_141",2004,11.3812457221081,0.32645,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"6",38050,"CB","CB_141",2005,12.3832991101985,0.318825,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"7",38050,"CB","CB_141",2006,13.3826146475017,0.2998,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"8",38050,"CB","CB_141",2007,14.3819301848049,0.322375,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"9",38050,"CB","CB_141",2008,15.3812457221081,0.334925,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"10",38050,"CB","CB_141",2009,16.3832991101985,0.341025,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"11",38050,"CB","CB_141",2010,0.306639288158795,0.354075,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"12",38050,"CB","CB_141",2011,1.30595482546201,0.3161,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"13",38050,"CB","CB_141",2012,2.30527036276523,0.328875,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"14",38050,"CB","CB_141",2013,3.30732375085558,0.3323,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"15",38050,"CB","CB_141",2014,4.3066392881588,0.334825,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"16",38050,"CB","CB_141",2015,5.30595482546201,0.33305,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"17",38050,"CB","CB_141",2016,6.30527036276523,0.356975,149.600267704889,883.676715520911,18.1119871375687,1,4,456.851707812828,6.14965958329722,66.5658158376587,511.46538541446,2179.9951478518,25.5377055541714,3.37431873454978,2660.5146484375,9647.9072265625,-32.10333333,18.96777778
"18",49873,"CB","CB_138",2000,7.38124572210815,0.3294,123.148065773679,928.083087154645,10.3150080428524,1,4,524.029865854052,8.70147243920081,76.551591911389,477.430669860984,2120.69498037325,25.3525924299301,3.3249716516898,3547.25708007812,9639.6787109375,-32.11472222,19.00166667
"19",49873,"CB","CB_138",2001,8.38329911019849,0.313075,123.148065773679,928.083087154645,10.3150080428524,1,4,524.029865854052,8.70147243920081,76.551591911389,477.430669860984,2120.69498037325,25.3525924299301,3.3249716516898,3547.25708007812,9639.6787109375,-32.11472222,19.00166667
